K_Nr;K_Jahrsem;K_Nrextern;K_Vorstand;K_Abteilung;K_Datumvon;K_Datumbis
1AAIF;20161;;SP;3;;
1ABIF;20161;;GT;2;;
1AHBGM;20160;;JEL;3;;
1AHIF;20160;;TSI;4;;
1AKIF;20161;;GT;3;;
1BAIF;20161;;AT;3;;
1BBIF;20161;;SW;2;;
1BHBGM;20160;;BIG;3;;
1BHIF;20160;;ROG;4;;
1CBIF;20161;;SW;2;;
1CHIF;20160;;TT;4;;
1DHIF;20160;;SIL;4;;
1EHIF;20160;;PK;4;;
2AFID;20160;;NWV;3;;
2AHBGM;20160;;PIR;3;;
2AHIF;20160;;SO;4;;
2BHBGM;20160;;CAM;3;;
2BHIF;20160;;ROG;4;;
2CHIF;20160;;BOM;4;;
2DHIF;20160;;LAD;4;;
2EHIF;20160;;KRB;4;;
3ABIF;20161;;GT;2;;
3AFID;20160;;NAI;3;;
3AHBGM;20160;;PUA;3;;
3AHIF;20160;;KY;4;;
3BBIF;20161;;AT;2;;
3BHBGM;20160;;HEB;3;;
3BHIF;20160;;PC;4;;
3CHIF;20160;;LC;4;;
3EHIF;20160;;ZUM;4;;
4AFID;20160;;KRB;3;;19-Feb-17
4AHBGM;20160;;ZEP;3;;
4AHIF;20160;;GC;4;;
4BHBGM;20160;;PRS;3;;
4BHIF;20160;;PC;4;;
4CHIF;20160;;NAI;4;;
4EHIF;20160;;HAE;4;;
5AHBGM;20160;;CAM;3;;07-Mai-17
5AHIF;20160;;FZ;4;;07-Mai-17
5BHIF;20160;;SK;4;;07-Mai-17
5CHIF;20160;;PE;4;;07-Mai-17
