Rel_ID;Rel_Nr;Rel_Name;Rel_Gesetzlichanerkannt;Rel_Staatlicheingetragen
1;adv;Kirche der Siebenten-Tags-Adventisten;FALSCH;WAHR
2;ak;armenisch-katholisch;WAHR;FALSCH
3;altk;altkatholisch;WAHR;FALSCH
4;ang;anglikanisch;FALSCH;FALSCH
5;arap;armenisch-apostolisch;WAHR;FALSCH
6;argr;Armenisch - griechisch;FALSCH;FALSCH
7;bab;Bund der Baptistengemeinden in Österreich;FALSCH;WAHR
8;bo;bulgarisch-orthodox;WAHR;FALSCH
9;bud;buddhistisch;WAHR;FALSCH
10;evab;evangelisch A.B.;WAHR;FALSCH
11;evf;evang.-freikirchlich;FALSCH;FALSCH
12;evhb;evangelisch H.B.;WAHR;FALSCH
13;gch;Grace Church;FALSCH;FALSCH
14;gk;griechisch-katholisch;WAHR;FALSCH
15;go;griechisch-orthodox;WAHR;FALSCH
16;hindu;Hinduistische Religionsgesellschaft in Österreich;FALSCH;WAHR
17;hlt;Kirche Jesu Christi der Heiligen der Letzten Tage;WAHR;FALSCH
18;io;Indisch orth.;FALSCH;FALSCH
19;islam;islamisch;WAHR;FALSCH
20;isr;israelitisch;WAHR;FALSCH
21;ko;koptisch-orthodox;WAHR;FALSCH
22;meth;evangelisch-methodistisch;WAHR;FALSCH
23;mor;Mormonen;FALSCH;FALSCH
24;mos;Mosaisch;FALSCH;FALSCH
25;mzo;mazedonisch orth.;FALSCH;FALSCH
26;neuap;neuapostolisch;WAHR;FALSCH
27;ob;Ohne Bekenntnis;FALSCH;FALSCH
28;rk;römisch-katholisch;WAHR;FALSCH
29;rmk;Rumänisch kath.;FALSCH;FALSCH
30;rmo;rumänisch-orthodox;WAHR;FALSCH
31;ro;russisch-orthodox;WAHR;FALSCH
32;s;----Sonstige----;FALSCH;FALSCH
33;sik;sikh;FALSCH;FALSCH
34;so;serbisch-orthodox;WAHR;FALSCH
35;syo;syrisch-orthodox;WAHR;FALSCH
36;zje;Jehovas Zeugen;WAHR;FALSCH
37;Bahai;Bahá’í-Religionsgemeinschaft Österreich;FALSCH;WAHR
38;evang;Bund evangelikaler Gemeinden in Österreich;FALSCH;WAHR
39;chgem;Die Christengemeinschaft – Bewegung für religiöse Erneuerung – in Österreich;FALSCH;WAHR
40;fchgem;Freie Christengemeinde/Pfingstgemeinde;FALSCH;WAHR
41;MFÖ;Mennonitische Freikirche Österreich;FALSCH;WAHR
42;pfingst;Pfingstkirche Gemeinde Gottes in Österreich;FALSCH;WAHR
43;ECG;Elaia Christengemeinden;FALSCH;WAHR
44;alevi;Islamitische Alevitische Glaubensgemeinschaft in Österreich;FALSCH;WAHR
